Sample	RefId	MappedReads	PercentGenomeCovered	MeanCoverage	PassFilter	ConsensusFile
DRR208399	NC_000947.1	201	1.43	1.8990	False	/data/output/mapping/map2Ref/DRR208399/NC_000947.1.consensus.fasta
DRR208399	NC_001445.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_001445.1.consensus.fasta
DRR208399	NC_001616.1	1	0.55	0.0055	False	/data/output/mapping/map2Ref/DRR208399/NC_001616.1.consensus.fasta
DRR208399	NC_001721.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_001721.1.consensus.fasta
DRR208399	NC_001777.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_001777.1.consensus.fasta
DRR208399	NC_001812.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_001812.1.consensus.fasta
DRR208399	NC_001841.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_001841.1.consensus.fasta
DRR208399	NC_002509.2	546	0.66	3.4975	False	/data/output/mapping/map2Ref/DRR208399/NC_002509.2.consensus.fasta
DRR208399	NC_003003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_003003.1.consensus.fasta
DRR208399	NC_003004.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_003004.1.consensus.fasta
DRR208399	NC_003492.1	201	1.28	1.0325	False	/data/output/mapping/map2Ref/DRR208399/NC_003492.1.consensus.fasta
DRR208399	NC_004011.1	392	1.53	1.5446	False	/data/output/mapping/map2Ref/DRR208399/NC_004011.1.consensus.fasta
DRR208399	NC_004667.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_004667.1.consensus.fasta
DRR208399	NC_004706.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_004706.1.consensus.fasta
DRR208399	NC_004752.1	30704	95.00	399.6236	True	/data/output/mapping/map2Ref/DRR208399/NC_004752.1.consensus.fasta
DRR208399	NC_005289.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_005289.1.consensus.fasta
DRR208399	NC_005290.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_005290.1.consensus.fasta
DRR208399	NC_009010.1	18	9.16	0.2161	False	/data/output/mapping/map2Ref/DRR208399/NC_009010.1.consensus.fasta
DRR208399	NC_010538.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_010538.1.consensus.fasta
DRR208399	NC_011541.1	467	1.66	2.1326	False	/data/output/mapping/map2Ref/DRR208399/NC_011541.1.consensus.fasta
DRR208399	NC_014742.1	211	1.06	1.2098	False	/data/output/mapping/map2Ref/DRR208399/NC_014742.1.consensus.fasta
DRR208399	NC_016003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_016003.1.consensus.fasta
DRR208399	NC_018093.1	158	1.05	1.1182	False	/data/output/mapping/map2Ref/DRR208399/NC_018093.1.consensus.fasta
DRR208399	NC_018175.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_018175.1.consensus.fasta
DRR208399	NC_018455.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_018455.1.consensus.fasta
DRR208399	NC_019412.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_019412.1.consensus.fasta
DRR208399	NC_022895.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_022895.1.consensus.fasta
DRR208399	NC_025252.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_025252.1.consensus.fasta
DRR208399	NC_026248.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_026248.1.consensus.fasta
DRR208399	NC_027212.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208399/NC_027212.1.consensus.fasta
