Sample	Contig	Percent_identity	Contig_length	Reference_length	RefCoverage	E-value	Reference_name	Species	blastType
DRR208399	NODE_109_length_7666_cov_391.116206	93.1	7666	1816	1.000551	0.00e+00	acc|GENBANK|QCT25584.1|GENBANK|MK782911|polyprotein [Yam virus Y]	Yam virus Y	Blastx
DRR208399	NODE_88_length_4261_cov_750.891675	91.7	4261	1887	0.752517	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_442_length_3646_cov_1162.922779	92.5	3646	1196	1.000836	0.00e+00	acc|REFSEQ|YP_009316179.1|REFSEQ|NC_031763|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_92_length_3143_cov_693.543730	92.5	3143	1887	0.549020	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_464_length_2563_cov_787.347431	95.8	2563	1887	0.452570	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_89_length_2174_cov_156.641756	100	2174	3103	0.233323	0.00e+00	acc|GENBANK|UOF93224.1|NEIGHBOR|OM471973|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_298_length_2174_cov_213.961233	99.3	2174	3103	0.233323	0.00e+00	acc|GENBANK|UOF93222.1|NEIGHBOR|OM471972|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_790_length_1893_cov_3767.820430	94.4	1893	1155	0.545455	0.00e+00	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_433_length_1790_cov_1535.564599	94.3	1790	1155	0.516017	0.00e+00	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_427_length_1705_cov_862.415670	96.5	1705	1887	0.301007	0.00e+00	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_70_length_1681_cov_445.857403	95.9	1681	1887	0.296767	0.00e+00	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_461_length_1658_cov_1315.047385	95.7	1658	1887	0.292528	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_420_length_1540_cov_475.944924	94.7	1540	1887	0.271860	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_60_length_1489_cov_409.637363	96.0	1489	1887	0.262851	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_488_length_1435_cov_1131.394437	97.7	1435	1887	0.253312	0.00e+00	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_438_length_1399_cov_919.260615	96.1	1399	1155	0.403463	0.00e+00	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_380_length_1399_cov_1038.141288	95.9	1399	1155	0.403463	0.00e+00	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_84_length_1438_cov_409.726690	97.7	1438	1887	0.253842	9.09e-314	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_391_length_1563_cov_283.324183	98.7	1563	3103	0.151144	1.19e-304	acc|GENBANK|UOF93224.1|NEIGHBOR|OM471973|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_384_length_1375_cov_186.479136	100	1375	3103	0.147599	1.92e-303	acc|GENBANK|UOF93224.1|NEIGHBOR|OM471973|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_80_length_1375_cov_287.444113	99.1	1375	3103	0.147599	2.72e-302	acc|GENBANK|UOF93222.1|NEIGHBOR|OM471972|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_95_length_1318_cov_937.748638	95.2	1318	1155	0.380087	4.81e-299	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_75_length_1526_cov_325.906229	95.7	1526	3103	0.151144	2.27e-292	acc|GENBANK|UOF93099.1|NEIGHBOR|OL584358|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_490_length_1288_cov_617.563347	98.8	1288	1887	0.227345	2.22e-277	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_388_length_1210_cov_477.704333	97.3	1210	1887	0.213567	6.22e-273	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_432_length_1186_cov_944.073721	96.7	1186	1887	0.209327	3.93e-263	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_393_length_1464_cov_970.039832	80.2	1464	1196	0.383779	1.96e-253	acc|REFSEQ|YP_009316179.1|REFSEQ|NC_031763|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_11008_length_1390_cov_13.056743	86.2	1390	405	1.002469	2.37e-252	acc|GENBANK|WGU26824.1|GENBANK|OQ503488|eukaryotic initiation factor 4A-III B-like [Triticum monococcum]	Triticum monococcum	Blastx
DRR208399	NODE_406_length_1159_cov_977.067496	91.7	1159	1155	0.334199	3.30e-243	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_403_length_1159_cov_859.559503	90.9	1159	1155	0.334199	1.20e-240	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_409_length_1031_cov_828.506012	93.0	1031	1887	0.181770	5.45e-232	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_657_length_1024_cov_573.215943	95.3	1024	1155	0.295238	2.47e-225	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_200_length_1006_cov_185.099692	99.7	1006	3103	0.107960	2.61e-215	acc|GENBANK|UZZ47382.1|NEIGHBOR|OP722585|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_282_length_1006_cov_157.362795	99.4	1006	3103	0.107960	1.16e-213	acc|GENBANK|UOF93224.1|NEIGHBOR|OM471973|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_364_length_1072_cov_437.726660	91.9	1072	1887	0.189189	1.13e-212	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_318_length_943_cov_831.332967	92.0	943	1887	0.166402	4.84e-202	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_15534_length_1187_cov_6.081456	78.6	1187	686	0.497085	2.88e-195	acc|GENBANK|WNO13952.1|GENBANK|OQ968299|coat protein [Guapo partitivirus]	Guapo partitivirus	Blastx
DRR208399	NODE_2696_length_1001_cov_3.676653	85.9	1001	518	0.588803	1.66e-184	acc|GENBANK|ABY48142.1|GENBANK|EU306659|serine-hydroxymethyltransferase [Medicago truncatula]	Medicago truncatula	Blastx
DRR208399	NODE_595_length_1585_cov_7.854381	70.5	1585	461	0.845987	5.49e-184	acc|GENBANK|AAL14456.1|GENBANK|AF397036|heat shock protein Hsc70t [Mus musculus]	Mus musculus	Blastx
DRR208399	NODE_2908_length_875_cov_3.819477	83.1	875	700	0.414286	6.22e-178	acc|GENBANK|ABY48141.1|GENBANK|EU306659|oligopeptidase A [Medicago truncatula]	Medicago truncatula	Blastx
DRR208399	NODE_272_length_778_cov_197.532886	100	778	3103	0.083468	2.13e-170	acc|GENBANK|UOF93224.1|NEIGHBOR|OM471973|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_418_length_961_cov_717.121767	92.4	961	1887	0.153683	1.45e-168	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_270_length_778_cov_213.868456	97.3	778	3103	0.083468	1.70e-166	acc|REFSEQ|YP_022751.1|REFSEQ|NC_004752|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_769_length_1350_cov_4.735763	51.6	1350	671	0.681073	6.95e-164	acc|REFSEQ|YP_010781167.1|REFSEQ|NC_075038|threonyl-tRNA synthetase [Tupanvirus deep ocean]	Tupanvirus deep ocean	Blastx
DRR208399	NODE_15535_length_1174_cov_9.510079	59.1	1174	388	0.994845	3.61e-163	acc|GENBANK|AAU93529.1|GENBANK|AY691949|alcohol dehydrogenase 1 [Zea mays]	Zea mays	Blastx
DRR208399	NODE_285_length_844_cov_299.051788	91.1	844	1887	0.148914	1.11e-159	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_302_length_739_cov_382.679887	99.2	739	3103	0.079278	3.17e-154	acc|GENBANK|UOF93224.1|NEIGHBOR|OM471973|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_288_length_739_cov_379.763456	97.6	739	3103	0.079278	5.33e-151	acc|GENBANK|UZZ47382.1|NEIGHBOR|OP722585|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_189_length_628_cov_155.463866	95.2	628	447	0.467562	6.06e-146	acc|GENBANK|AAB63069.1|GENBANK|U53438|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_634_length_718_cov_531.864234	94.1	718	1155	0.206926	5.02e-145	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_15553_length_628_cov_271.038655	94.7	628	447	0.467562	7.01e-145	acc|GENBANK|AAB63069.1|GENBANK|U53438|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_422_length_718_cov_883.113869	93.3	718	1155	0.206926	1.07e-143	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_386_length_1115_cov_8.979667	80.8	1115	237	0.987342	2.00e-142	acc|GENBANK|UZT29049.1|GENBANK|OP765507|photosystem D1 protein [Nucleocytoviricota sp.]	Nucleocytoviricota sp.	Blastx
DRR208399	NODE_13588_length_764_cov_5.250342	82.2	764	601	0.420965	1.55e-139	acc|GENBANK|AAB62581.1|GENBANK|U68072|3-hydroxy-3-methylglutaryl CoA reductase 2 [Solanum lycopersicum]	Solanum lycopersicum	Blastx
DRR208399	NODE_662_length_689_cov_3744.381098	98.1	689	1196	0.178094	4.22e-139	acc|REFSEQ|YP_009316179.1|REFSEQ|NC_031763|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_3618_length_1382_cov_4.374351	54.7	1382	706	0.584986	4.81e-139	acc|GENBANK|WGU26822.1|GENBANK|OQ503488|OPT oligopeptide transporter protein [Triticum monococcum]	Triticum monococcum	Blastx
DRR208399	NODE_315_length_643_cov_494.637705	94.4	643	1887	0.113408	5.26e-139	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_392_length_707_cov_578.069733	97.2	707	1196	0.178094	2.92e-138	acc|REFSEQ|YP_009316179.1|REFSEQ|NC_031763|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_361_length_634_cov_1660.803661	94.8	634	1887	0.111818	1.16e-137	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_668_length_607_cov_4683.261324	99.0	607	1155	0.174892	5.56e-132	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_176_length_1172_cov_27.380158	52.4	1172	385	1.015584	4.54e-131	acc|GENBANK|UUT40455.1|GENBANK|ON887238|hypothetical protein [carnivorous sponge associated iridovirus]	carnivorous sponge associated iridovirus	Blastx
DRR208399	NODE_633_length_631_cov_434.008361	95.7	631	1155	0.181818	8.73e-130	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_14992_length_729_cov_24.320402	79.6	729	676	0.355030	2.88e-126	acc|REFSEQ|YP_009173627.1|REFSEQ|NC_028094|Hsp70 protein [Chrysochromulina ericina virus]	Chrysochromulina ericina virus	Blastx
DRR208399	NODE_341_length_592_cov_623.379249	98.5	592	1887	0.104399	1.41e-125	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_14825_length_938_cov_5.289503	60.9	938	589	0.521222	1.57e-124	acc|GENBANK|XKM50678.1|GENBANK|PQ442278|hypothetical protein [Ostreococcus tauri virus 19-T2]	Ostreococcus tauri virus 19-T2	Blastx
DRR208399	NODE_11712_length_788_cov_10.141722	94.8	788	246	0.784553	1.76e-122	acc|GENBANK|ARF10610.1|GENBANK|KY684104|ubiquitin family protein [Hokovirus HKV1]	Hokovirus HKV1	Blastx
DRR208399	NODE_1985_length_803_cov_2.936364	79.0	803	1908	0.139937	1.93e-121	acc|GENBANK|AYD60109.1|NEIGHBOR|MG711311|ORF3 protein [Dioscorea bacilliform RT virus]	Dioscorea bacilliform RT virus	Blastx
DRR208399	NODE_15211_length_703_cov_3.626866	87.4	703	602	0.355482	1.05e-120	acc|GENBANK|QIG59839.1|GENBANK|MN940578|heat shock protein 70 [Dishui Lake phycodnavirus 3]	Dishui Lake phycodnavirus 3	Blastx
DRR208399	NODE_2044_length_1240_cov_8.418393	52.1	1240	333	0.951952	2.30e-119	acc|GENBANK|AUV58633.1|GENBANK|MG779360|glutamine synthetase [Bandra megavirus]	Bandra megavirus	Blastx
DRR208399	NODE_126_length_562_cov_1273.109641	96.8	562	1887	0.099099	6.83e-119	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_535_length_807_cov_13.042636	65.5	807	405	0.659259	8.38e-119	acc|GENBANK|WGU26824.1|GENBANK|OQ503488|eukaryotic initiation factor 4A-III B-like [Triticum monococcum]	Triticum monococcum	Blastx
DRR208399	NODE_2182_length_1135_cov_6.637931	53.2	1135	630	0.617460	9.50e-119	acc|GENBANK|QOR60303.1|GENBANK|MK522035|hypothetical protein [Bathycoccus sp. RCC716 virus 1]	Bathycoccus sp. RCC716 virus 1	Blastx
DRR208399	NODE_636_length_583_cov_1765.949091	95.9	583	1155	0.167965	3.15e-118	acc|GENBANK|ASU55992.1|NEIGHBOR|KX714934|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_394_length_550_cov_963.760155	100	550	1887	0.096979	1.22e-116	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_14933_length_586_cov_167.023508	99.5	586	3103	0.062842	3.35e-115	acc|GENBANK|UOF93224.1|NEIGHBOR|OM471973|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_15350_length_1666_cov_8.305573	44.4	1666	697	0.593974	4.66e-115	acc|REFSEQ|YP_010781946.1|REFSEQ|NC_075039|catalase [Tupanvirus soda lake]	Tupanvirus soda lake	Blastx
DRR208399	NODE_362_length_586_cov_240.658228	99.0	586	3103	0.062842	2.15e-114	acc|GENBANK|UOF93222.1|NEIGHBOR|OM471972|polyprotein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_15203_length_1299_cov_13.582148	45.5	1299	694	0.550432	2.06e-113	acc|REFSEQ|YP_010780645.1|REFSEQ|NC_075038|catalase HPII [Tupanvirus deep ocean]	Tupanvirus deep ocean	Blastx
DRR208399	NODE_637_length_587_cov_1673.925993	98.3	587	1196	0.147993	3.80e-113	acc|REFSEQ|YP_009316179.1|REFSEQ|NC_031763|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_14492_length_1017_cov_5.891260	54.7	1017	518	0.638996	1.18e-112	acc|GENBANK|ABY48142.1|GENBANK|EU306659|serine-hydroxymethyltransferase [Medicago truncatula]	Medicago truncatula	Blastx
DRR208399	NODE_321_length_629_cov_1377.171141	95.5	629	1887	0.094330	9.72e-111	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_310_length_544_cov_338.452055	95.6	544	1887	0.095919	9.71e-110	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_100_length_527_cov_810.811741	97.7	527	1887	0.092740	3.62e-109	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_15345_length_686_cov_9.398162	68.0	686	557	0.409336	1.64e-107	acc|GENBANK|WGU26825.1|GENBANK|OQ503488|putative acyl-activating enzyme 5 [Triticum monococcum]	Triticum monococcum	Blastx
DRR208399	NODE_9060_length_542_cov_1.685658	86.1	542	1891	0.095188	2.43e-104	acc|GENBANK|WKY95838.1|GENBANK|ON792315|polyprotein [Dioscorea bacilliform BL virus]	Dioscorea bacilliform BL virus	Blastx
DRR208399	NODE_119_length_511_cov_805.232218	93.5	511	1887	0.090090	1.42e-103	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_15617_length_583_cov_5.981818	73.3	583	224	0.852679	8.14e-103	acc|GENBANK|QDH89109.1|GENBANK|MN034603|hypothetical protein [Picornavirales sp.]	Picornavirales sp.	Blastx
DRR208399	NODE_116_length_1006_cov_7.779034	59.0	1006	819	0.333333	3.50e-102	acc|GENBANK|QKF94107.1|GENBANK|MT418680|eukaryotic translation elongation factor 2 [Fadolivirus FV1/VV64]	Fadolivirus FV1/VV64	Blastx
DRR208399	NODE_784_length_500_cov_1475.241970	97.6	500	1887	0.087970	8.22e-101	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_117_length_974_cov_20.261424	65.8	974	753	0.403718	9.85e-100	acc|GENBANK|QDY51907.1|GENBANK|MK250085|Hsp90 protein [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
DRR208399	NODE_8897_length_537_cov_3.696429	76.5	537	214	0.794393	4.55e-96	acc|GENBANK|UZE89726.1|GENBANK|ON704650|hypothetical protein [Parapoynx stagnalis nucleopolyhedrovirus]	Parapoynx stagnalis nucleopolyhedrovirus	Blastx
DRR208399	NODE_11910_length_527_cov_1.589069	87.4	527	2466	0.070560	8.65e-96	acc|GENBANK|AOZ57106.1|GENBANK|KX608896|Serine threonine-protein kinase TOR [Saccharum hybrid cultivar R570]	Saccharum hybrid cultivar R570	Blastx
DRR208399	NODE_2171_length_593_cov_4.425000	96.8	593	1904	0.080882	2.80e-95	acc|REFSEQ|YP_010797564.1|REFSEQ|NC_076205|ORF3 protein [Dioscorea bacilliform RT virus]	Dioscorea bacilliform RT virus	Blastx
DRR208399	NODE_139_length_455_cov_829.767773	98.0	455	1887	0.079491	7.02e-95	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_82_length_759_cov_426.856749	70.3	759	1196	0.183110	4.32e-94	acc|REFSEQ|YP_009316179.1|REFSEQ|NC_031763|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_11620_length_683_cov_9.656923	66.4	683	534	0.411985	1.80e-92	acc|GENBANK|QBK91823.1|GENBANK|MK500565|uncharacterized protein [Pithovirus LCPAC304]	Pithovirus LCPAC304	Blastx
DRR208399	NODE_15504_length_978_cov_12.749206	61.8	978	244	1.028689	4.79e-90	acc|GENBANK|AAW73221.1|GENBANK|AY747600|VRN-A1 [Triticum aestivum]	Triticum aestivum	Blastx
DRR208399	NODE_539_length_2127_cov_11.794174	41.4	2127	406	1.022167	4.47e-89	acc|GENBANK|QBK87310.1|GENBANK|MK500348|chaperone protein [Marseillevirus LCMAC201]	Marseillevirus LCMAC201	Blastx
DRR208399	NODE_3325_length_730_cov_2.480631	59.0	730	868	0.286866	7.48e-89	acc|GENBANK|XCO48900.1|GENBANK|PP745267|putative ORF1 protein [Iflaviridae sp.]	Iflaviridae sp.	Blastx
DRR208399	NODE_7779_length_576_cov_3.611418	63.3	576	524	0.358779	6.32e-88	acc|REFSEQ|YP_010781689.1|REFSEQ|NC_075039|prolyl-tRNA synthetase [Tupanvirus soda lake]	Tupanvirus soda lake	Blastx
DRR208399	NODE_188_length_1579_cov_11.470893	39.9	1579	697	0.535151	1.14e-87	acc|REFSEQ|YP_010781946.1|REFSEQ|NC_075039|catalase [Tupanvirus soda lake]	Tupanvirus soda lake	Blastx
DRR208399	NODE_500_length_788_cov_5.570861	65.1	788	760	0.278947	6.41e-87	acc|GENBANK|QFG74349.1|GENBANK|MN448286|Hsp90 protein [Megaviridae environmental sample]	Megaviridae environmental sample	Blastx
DRR208399	NODE_15210_length_1658_cov_3.883077	77.5	1658	405	0.427160	4.27e-86	acc|GENBANK|WGU26824.1|GENBANK|OQ503488|eukaryotic initiation factor 4A-III B-like [Triticum monococcum]	Triticum monococcum	Blastx
DRR208399	NODE_11393_length_798_cov_7.087582	60.4	798	328	0.600610	6.88e-84	acc|GENBANK|ARF10725.1|GENBANK|KY684104|glutamine synthetase [Hokovirus HKV1]	Hokovirus HKV1	Blastx
DRR208399	NODE_1644_length_490_cov_1.256018	76.5	490	423	0.382979	1.84e-83	acc|GENBANK|CAA38181.1|GENBANK|X54284|phosphoglycerate kinase [Trichoderma viride]	Trichoderma viride	Blastx
DRR208399	NODE_140_length_404_cov_1834.086253	99.2	404	1887	0.070482	3.32e-83	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_15367_length_538_cov_6.380198	78.7	538	700	0.254286	1.73e-82	acc|GENBANK|ABY48141.1|GENBANK|EU306659|oligopeptidase A [Medicago truncatula]	Medicago truncatula	Blastx
DRR208399	NODE_2912_length_411_cov_1.825397	95.6	411	318	0.427673	5.99e-82	acc|GENBANK|AAD44037.1|GENBANK|AF104020|polyprotein [Bovine viral diarrhea virus 2]	Bovine viral diarrhea virus 2	Blastx
DRR208399	NODE_2667_length_445_cov_2.728155	88.4	445	1395	0.104659	1.37e-81	acc|GENBANK|AHG94942.1|GENBANK|KF829952|ORF3 [Dioscorea bacilliform virus]	Dioscorea bacilliform virus	Blastx
DRR208399	NODE_2238_length_553_cov_3.959615	64.2	553	316	0.591772	1.84e-81	acc|GENBANK|QDY51833.1|GENBANK|MK250085|hypothetical protein [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
DRR208399	NODE_15690_length_386_cov_818.405099	96.1	386	1887	0.067833	1.27e-80	acc|REFSEQ|YP_009316187.1|REFSEQ|NC_031766|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
DRR208399	NODE_2723_length_517_cov_2.481405	92.1	517	220	0.577273	5.67e-80	acc|GENBANK|XEQ86948.1|GENBANK|PQ164815|core protein precursor pX [Human adenovirus sp.]	Human adenovirus sp.	Blastx
DRR208399	NODE_14699_length_494_cov_9.869848	75.5	494	557	0.292639	8.18e-80	acc|GENBANK|WGU26825.1|GENBANK|OQ503488|putative acyl-activating enzyme 5 [Triticum monococcum]	Triticum monococcum	Blastx
DRR208399	NODE_287_length_517_cov_558.902893	100	517	121	0.966942	2.81e-79	acc|GENBANK|WKZ08305.1|GENBANK|OR004232|coat protein [Yam mosaic virus]	Yam mosaic virus	Blastx
DRR208399	NODE_411_length_403_cov_649.997297	94.8	403	1887	0.071012	3.62e-79	acc|GENBANK|ASU55991.1|NEIGHBOR|KX714933|polyprotein [Dioscorea mosaic associated virus]	Dioscorea mosaic associated virus	Blastx
