Sample	RefId	MappedReads	PercentGenomeCovered	MeanCoverage	PassFilter	ConsensusFile
DRR208398	NC_000947.1	417	1.68	3.4143	False	/data/output/mapping/map2Ref/DRR208398/NC_000947.1.consensus.fasta
DRR208398	NC_001445.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_001445.1.consensus.fasta
DRR208398	NC_001616.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_001616.1.consensus.fasta
DRR208398	NC_001721.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_001721.1.consensus.fasta
DRR208398	NC_001777.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_001777.1.consensus.fasta
DRR208398	NC_001812.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_001812.1.consensus.fasta
DRR208398	NC_001841.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_001841.1.consensus.fasta
DRR208398	NC_002509.2	677	0.67	4.3346	False	/data/output/mapping/map2Ref/DRR208398/NC_002509.2.consensus.fasta
DRR208398	NC_003003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_003003.1.consensus.fasta
DRR208398	NC_003004.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_003004.1.consensus.fasta
DRR208398	NC_003492.1	332	1.76	1.6650	False	/data/output/mapping/map2Ref/DRR208398/NC_003492.1.consensus.fasta
DRR208398	NC_004011.1	450	2.68	1.8106	False	/data/output/mapping/map2Ref/DRR208398/NC_004011.1.consensus.fasta
DRR208398	NC_004667.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_004667.1.consensus.fasta
DRR208398	NC_004706.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_004706.1.consensus.fasta
DRR208398	NC_004752.1	37312	94.88	484.3167	True	/data/output/mapping/map2Ref/DRR208398/NC_004752.1.consensus.fasta
DRR208398	NC_005289.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208398/NC_005289.1.consensus.fasta
