Sample	RefId	MappedReads	PercentGenomeCovered	MeanCoverage	PassFilter	ConsensusFile
SRR17635185	NC_000947.1	27648	46.29	320.1901	True	/data/output/mapping/map2Ref/SRR17635185/NC_000947.1.consensus.fasta
SRR17635185	NC_001445.1	2998	0.45	10.6808	False	/data/output/mapping/map2Ref/SRR17635185/NC_001445.1.consensus.fasta
SRR17635185	NC_001616.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_001616.1.consensus.fasta
SRR17635185	NC_001721.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_001721.1.consensus.fasta
SRR17635185	NC_001777.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_001777.1.consensus.fasta
SRR17635185	NC_001812.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_001812.1.consensus.fasta
SRR17635185	NC_001841.1	1	0.50	0.0050	False	/data/output/mapping/map2Ref/SRR17635185/NC_001841.1.consensus.fasta
SRR17635185	NC_002509.2	1193	1.64	8.2578	False	/data/output/mapping/map2Ref/SRR17635185/NC_002509.2.consensus.fasta
SRR17635185	NC_003003.1	24035	28.48	301.3668	True	/data/output/mapping/map2Ref/SRR17635185/NC_003003.1.consensus.fasta
SRR17635185	NC_003004.1	90068	53.81	2299.5442	True	/data/output/mapping/map2Ref/SRR17635185/NC_003004.1.consensus.fasta
SRR17635185	NC_003492.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_003492.1.consensus.fasta
SRR17635185	NC_004011.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_004011.1.consensus.fasta
SRR17635185	NC_004667.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_004667.1.consensus.fasta
SRR17635185	NC_004706.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_004706.1.consensus.fasta
SRR17635185	NC_004752.1	1316	0.82	4.8188	False	/data/output/mapping/map2Ref/SRR17635185/NC_004752.1.consensus.fasta
SRR17635185	NC_005289.1	20344	2.10	154.7473	False	/data/output/mapping/map2Ref/SRR17635185/NC_005289.1.consensus.fasta
SRR17635185	NC_005290.1	15254	1.48	197.7800	False	/data/output/mapping/map2Ref/SRR17635185/NC_005290.1.consensus.fasta
SRR17635185	NC_009010.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_009010.1.consensus.fasta
SRR17635185	NC_010538.1	987	2.85	7.7605	False	/data/output/mapping/map2Ref/SRR17635185/NC_010538.1.consensus.fasta
SRR17635185	NC_011541.1	2932	3.06	18.3132	False	/data/output/mapping/map2Ref/SRR17635185/NC_011541.1.consensus.fasta
SRR17635185	NC_014742.1	1588	1.28	15.0295	False	/data/output/mapping/map2Ref/SRR17635185/NC_014742.1.consensus.fasta
SRR17635185	NC_016003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_016003.1.consensus.fasta
SRR17635185	NC_018093.1	1	0.33	0.0033	False	/data/output/mapping/map2Ref/SRR17635185/NC_018093.1.consensus.fasta
SRR17635185	NC_018175.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_018175.1.consensus.fasta
SRR17635185	NC_018455.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_018455.1.consensus.fasta
SRR17635185	NC_019412.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_019412.1.consensus.fasta
SRR17635185	NC_022895.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_022895.1.consensus.fasta
SRR17635185	NC_025252.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_025252.1.consensus.fasta
SRR17635185	NC_026248.1	60538	82.14	902.7862	True	/data/output/mapping/map2Ref/SRR17635185/NC_026248.1.consensus.fasta
SRR17635185	NC_027212.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_027212.1.consensus.fasta
SRR17635185	NC_028111.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_028111.1.consensus.fasta
SRR17635185	NC_031763.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_031763.1.consensus.fasta
SRR17635185	NC_031766.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_031766.1.consensus.fasta
SRR17635185	NC_034250.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_034250.1.consensus.fasta
SRR17635185	NC_038381.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_038381.1.consensus.fasta
SRR17635185	NC_038561.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_038561.1.consensus.fasta
SRR17635185	NC_038986.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_038986.1.consensus.fasta
SRR17635185	NC_038987.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_038987.1.consensus.fasta
SRR17635185	NC_038995.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635185/NC_038995.1.consensus.fasta
