SRR22534737__NC_026248.1	gi|817050444|ref|NC_026248.1|	93.247	8529	8532	8531	1	8529	1	8528	0.0	12558	Yam latent virus isolate SG1, complete genome	100
SRR22534737__NC_000947.1	gi|745788252|gb|KJ789139.1|	88.233	2592	9760	9733	3844	6434	3817	6408	0.0	3118	Japanese yam mosaic virus isolate WX3, complete genome	46
SRR22534737__NC_000947.1	gi|745788252|gb|KJ789139.1|	86.514	875	9760	9733	8888	9760	8861	9733	0.0	963	Japanese yam mosaic virus isolate WX3, complete genome	46
SRR22534737__NC_000947.1	gi|745788252|gb|KJ789139.1|	93.362	467	9760	9733	1384	1850	1357	1823	0.0	691	Japanese yam mosaic virus isolate WX3, complete genome	46
SRR22534737__NC_000947.1	gi|745788252|gb|KJ789139.1|	85.882	340	9760	9733	1910	2249	1883	2222	1.05e-105	403	Japanese yam mosaic virus isolate WX3, complete genome	46
SRR22534737__NC_000947.1	gi|745788252|gb|KJ789139.1|	88.083	193	9760	9733	1148	1340	1121	1313	1.88e-53	230	Japanese yam mosaic virus isolate WX3, complete genome	46
SRR22534737__NC_043150.1	gi|1383529670|gb|MF156604.1|	93.258	178	1140	993	456	633	516	693	2.10e-64	263	Japanese yam mosaic virus isolate GF-3 polyprotein gene, partial cds	16
SRR22534737__NC_043422.1	gi|1694998340|ref|NC_043422.1|	100.000	107	1646	1646	965	1071	965	1071	8.77e-45	198	Henbane mosaic virus partial gene for polyprotein, genomic RNA, isolate PHYS/H	12
SRR22534737__NC_043422.1	gi|1694998340|ref|NC_043422.1|	100.000	85	1646	1646	1209	1293	1209	1293	1.49e-32	158	Henbane mosaic virus partial gene for polyprotein, genomic RNA, isolate PHYS/H	12
SRR22534737__NC_010538.1	gi|817050444|ref|NC_026248.1|	87.425	167	8550	8531	5408	5574	5396	5562	5.97e-48	211	Yam latent virus isolate SG1, complete genome	4
SRR22534737__NC_010538.1	gi|817050444|ref|NC_026248.1|	98.684	76	8550	8531	69	144	72	147	3.69e-25	135	Yam latent virus isolate SG1, complete genome	4
SRR22534737__NC_010538.1	gi|817050444|ref|NC_026248.1|	93.407	91	8550	8531	5717	5807	5705	5795	3.69e-25	135	Yam latent virus isolate SG1, complete genome	4
