Sample	Contig	Percent_identity	Contig_length	Reference_length	RefCoverage	E-value	Reference_name	Species	blastType
SRR22534742	NODE_2484_length_8640_cov_10955.481469	93.8	8640	3117	0.897337	0.00e+00	acc|GENBANK|AJD23395.1|NEIGHBOR|KJ789138|polyprotein [Japanese yam mosaic virus]	Japanese yam mosaic virus	Blastx
SRR22534742	NODE_10071_length_7878_cov_19.341364	81.2	7878	2466	0.989051	0.00e+00	acc|GENBANK|AOZ57106.1|GENBANK|KX608896|Serine threonine-protein kinase TOR [Saccharum hybrid cultivar R570]	Saccharum hybrid cultivar R570	Blastx
SRR22534742	NODE_10283_length_1704_cov_38.296828	97.0	1704	1960	0.289286	0.00e+00	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR22534742	NODE_1051_length_2694_cov_19.726043	57.9	2694	1263	0.578781	4.28e-288	acc|GENBANK|AAL14452.1|GENBANK|AF397035|valyl-tRNA-synthetase G7a/Bat6 [Mus musculus]	Mus musculus	Blastx
SRR22534742	NODE_2609_length_1868_cov_8.005995	65.8	1868	753	0.775564	1.70e-284	acc|GENBANK|WOC30888.1|NEIGHBOR|OR557577|Ribonucleoside-diphosphate reductase large [Spodoptera litura nucleopolyhedrovirus]	Spodoptera litura nucleopolyhedrovirus	Blastx
SRR22534742	NODE_10603_length_2040_cov_14.661186	56.2	2040	912	0.718202	5.88e-254	acc|GENBANK|ACX48824.1|GENBANK|GQ923937|chromomethylase [Zea mays]	Zea mays	Blastx
SRR22534742	NODE_10193_length_1883_cov_23.031351	60.5	1883	623	0.902087	2.02e-252	acc|GENBANK|BAL14837.1|GENBANK|AB682995|endo-1,4-b-D-glucanase [Oryza sativa Japonica Group]	Oryza sativa Japonica Group	Blastx
SRR22534742	NODE_2042_length_2987_cov_55.009479	40.7	2987	1097	0.870556	1.35e-238	acc|GENBANK|QBK88446.1|GENBANK|MK500389|isoleucyl-tRNA synthetase [Mimivirus LCMiAC01]	Mimivirus LCMiAC01	Blastx
SRR22534742	NODE_50379_length_1864_cov_28.777171	56.2	1864	925	0.688649	7.56e-228	acc|GENBANK|ABY48139.1|GENBANK|EU306659|NORK [Medicago truncatula]	Medicago truncatula	Blastx
SRR22534742	NODE_9501_length_1324_cov_81.897754	81.3	1324	700	0.518571	2.93e-221	acc|GENBANK|ABY48141.1|GENBANK|EU306659|oligopeptidase A [Medicago truncatula]	Medicago truncatula	Blastx
SRR22534742	NODE_12924_length_1958_cov_20.420260	52.6	1958	1201	0.530391	5.72e-221	acc|GENBANK|QDY52415.1|GENBANK|MK250092|RNA polymerase Rpb2, domain 6 [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
SRR22534742	NODE_5202_length_1922_cov_6.880889	57.2	1922	912	0.604167	5.70e-216	acc|GENBANK|ACX48824.1|GENBANK|GQ923937|chromomethylase [Zea mays]	Zea mays	Blastx
SRR22534742	NODE_12598_length_2317_cov_21.975044	50.6	2317	875	0.716571	3.32e-209	acc|GENBANK|BDT62894.1|GENBANK|LC738879|DNA ligase 1-like protein [Trachysalambria curvirostris majanivirus]	Trachysalambria curvirostris majanivirus	Blastx
SRR22534742	NODE_8760_length_902_cov_81.567319	97.3	902	316	0.946203	3.06e-207	acc|GENBANK|WEY07647.1|GENBANK|OP219489|coat protein [Yam latent virus]	Yam latent virus	Blastx
SRR22534742	NODE_49523_length_1771_cov_11.207135	59.8	1771	623	0.746388	9.99e-206	acc|GENBANK|BAL14837.1|GENBANK|AB682995|endo-1,4-b-D-glucanase [Oryza sativa Japonica Group]	Oryza sativa Japonica Group	Blastx
SRR22534742	NODE_10776_length_1488_cov_7.039863	60.0	1488	1161	0.426357	2.19e-202	acc|GENBANK|AAP06788.1|GENBANK|AY234827|phytochrome B1 apoprotein [Zea mays]	Zea mays	Blastx
SRR22534742	NODE_5345_length_996_cov_21.877466	87.0	996	518	0.623552	1.78e-200	acc|GENBANK|ABY48142.1|GENBANK|EU306659|serine-hydroxymethyltransferase [Medicago truncatula]	Medicago truncatula	Blastx
SRR22534742	NODE_11344_length_1924_cov_13.535695	61.0	1924	759	0.578393	3.73e-198	acc|GENBANK|ACN78962.1|GENBANK|FJ225394|methyltransferase [Glycine max]	Glycine max	Blastx
SRR22534742	NODE_10416_length_2165_cov_9.611163	62.2	2165	637	0.734694	2.79e-196	acc|GENBANK|QBK87831.1|GENBANK|MK500370|Hsp70 protein [Marseillevirus LCMAC202]	Marseillevirus LCMAC202	Blastx
SRR22534742	NODE_12399_length_2425_cov_16.074415	50.5	2425	604	1.120861	2.20e-187	acc|GENBANK|AAK84484.1|GENBANK|AF275345|TH65-like protein [Solanum lycopersicum]	Solanum lycopersicum	Blastx
SRR22534742	NODE_45174_length_951_cov_27.635076	87.0	951	1960	0.161224	3.86e-184	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR22534742	NODE_10826_length_949_cov_8.558952	86.9	949	388	0.750000	1.07e-180	acc|GENBANK|AAU93529.1|GENBANK|AY691949|alcohol dehydrogenase 1 [Zea mays]	Zea mays	Blastx
SRR22534742	NODE_1164_length_1531_cov_45.937250	61.4	1531	518	0.830116	6.32e-180	acc|GENBANK|ABY48142.1|GENBANK|EU306659|serine-hydroxymethyltransferase [Medicago truncatula]	Medicago truncatula	Blastx
SRR22534742	NODE_13121_length_3551_cov_13.833428	52.7	3551	656	0.861280	9.00e-178	acc|GENBANK|QDY51980.1|GENBANK|MK250086|Hsp70 protein [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
SRR22534742	NODE_11015_length_1724_cov_55.049083	68.5	1724	405	0.918519	3.65e-177	acc|GENBANK|WGU26824.1|GENBANK|OQ503488|eukaryotic initiation factor 4A-III B-like [Triticum monococcum]	Triticum monococcum	Blastx
SRR22534742	NODE_918_length_1259_cov_13.792822	67.8	1259	378	0.920635	5.41e-177	acc|GENBANK|ACN72775.1|GENBANK|FJ791046|delta-12 oleate desaturase [Helianthus annuus]	Helianthus annuus	Blastx
SRR22534742	NODE_2840_length_1892_cov_22.837009	49.4	1892	759	0.671937	8.71e-174	acc|GENBANK|ACN78962.1|GENBANK|FJ225394|methyltransferase [Glycine max]	Glycine max	Blastx
SRR22534742	NODE_10657_length_1332_cov_19.493457	57.1	1332	706	0.662890	8.31e-172	acc|GENBANK|WGU26822.1|GENBANK|OQ503488|OPT oligopeptide transporter protein [Triticum monococcum]	Triticum monococcum	Blastx
SRR22534742	NODE_10506_length_2371_cov_22.263473	44.5	2371	753	0.934927	2.16e-170	acc|GENBANK|QDY51907.1|GENBANK|MK250085|Hsp90 protein [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
SRR22534742	NODE_39234_length_893_cov_3.018605	84.8	893	602	0.493355	9.72e-169	acc|GENBANK|QIG59839.1|GENBANK|MN940578|heat shock protein 70 [Dishui Lake phycodnavirus 3]	Dishui Lake phycodnavirus 3	Blastx
SRR22534742	NODE_2478_length_2565_cov_2743.727883	85.8	2565	3118	0.101988	1.80e-166	acc|GENBANK|AJD23399.1|NEIGHBOR|KJ789140|polyprotein [Japanese yam mosaic virus]	Japanese yam mosaic virus	Blastx
SRR22534742	NODE_14110_length_972_cov_4.368477	73.6	972	354	0.878531	1.44e-165	acc|REFSEQ|YP_008319229.1|REFSEQ|NC_021858|Ribonucleoside-diphosphate reductase small [Pandoravirus dulcis]	Pandoravirus dulcis	Blastx
SRR22534742	NODE_11580_length_1466_cov_60.258897	50.2	1466	671	0.706408	3.92e-163	acc|REFSEQ|YP_010781167.1|REFSEQ|NC_075038|threonyl-tRNA synthetase [Tupanvirus deep ocean]	Tupanvirus deep ocean	Blastx
SRR22534742	NODE_5755_length_1226_cov_27.442582	63.4	1226	478	0.778243	9.38e-163	acc|GENBANK|AAK84479.1|GENBANK|AF275345|putative auxin growth promotor protein [Solanum lycopersicum]	Solanum lycopersicum	Blastx
SRR22534742	NODE_364_length_2662_cov_17.157094	35.4	2662	1201	0.788510	3.04e-162	acc|GENBANK|QDY52415.1|GENBANK|MK250092|RNA polymerase Rpb2, domain 6 [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
SRR22534742	NODE_886_length_1428_cov_53.968459	59.1	1428	388	0.989691	3.35e-161	acc|GENBANK|AAU93529.1|GENBANK|AY691949|alcohol dehydrogenase 1 [Zea mays]	Zea mays	Blastx
SRR22534742	NODE_45982_length_1484_cov_11.328050	48.6	1484	1263	0.406968	1.13e-157	acc|GENBANK|AAD26531.1|GENBANK|AF087141|valyl-tRNA synthetase [Mus musculus]	Mus musculus	Blastx
SRR22534742	NODE_3548_length_1163_cov_14.872566	65.8	1163	422	0.817536	4.20e-157	acc|GENBANK|ABY48137.1|GENBANK|EU306659|putative protein [Medicago truncatula]	Medicago truncatula	Blastx
SRR22534742	NODE_23_length_1204_cov_42.842015	78.4	1204	700	0.435714	4.75e-157	acc|GENBANK|ABY48141.1|GENBANK|EU306659|oligopeptidase A [Medicago truncatula]	Medicago truncatula	Blastx
SRR22534742	NODE_5033_length_919_cov_67.899549	81.8	919	405	0.676543	2.66e-154	acc|GENBANK|WGU26824.1|GENBANK|OQ503488|eukaryotic initiation factor 4A-III B-like [Triticum monococcum]	Triticum monococcum	Blastx
SRR22534742	NODE_50958_length_1767_cov_30.276817	53.6	1767	515	0.825243	5.59e-154	acc|REFSEQ|YP_010781615.1|REFSEQ|NC_075039|lysine-tRNA synthetase [Tupanvirus soda lake]	Tupanvirus soda lake	Blastx
SRR22534742	NODE_1967_length_1567_cov_21.277053	59.8	1567	783	0.508301	3.90e-152	acc|GENBANK|QFG73724.1|GENBANK|MN448270|Hsp90 protein [Megaviridae environmental sample]	Megaviridae environmental sample	Blastx
SRR22534742	NODE_4986_length_1927_cov_47.092397	51.3	1927	456	0.986842	5.74e-152	acc|GENBANK|QKF94222.1|GENBANK|MT418680|alanyl-tRNA synthetase [Fadolivirus FV1/VV64]	Fadolivirus FV1/VV64	Blastx
SRR22534742	NODE_2518_length_927_cov_23861.774049	92.6	927	229	1.000000	1.22e-151	acc|REFSEQ|YP_009116869.1|REFSEQ|NC_026248|triple gene block protein 1 [Yam latent virus]	Yam latent virus	Blastx
SRR22534742	NODE_2003_length_2797_cov_30.979016	45.0	2797	550	0.990909	1.81e-150	acc|GENBANK|ARF12130.1|GENBANK|KY684110|glutaminyl-tRNA synthetase [Klosneuvirus KNV1]	Klosneuvirus KNV1	Blastx
SRR22534742	NODE_1022_length_2013_cov_19.178788	59.5	2013	623	0.582665	1.69e-149	acc|GENBANK|BAL14837.1|GENBANK|AB682995|endo-1,4-b-D-glucanase [Oryza sativa Japonica Group]	Oryza sativa Japonica Group	Blastx
SRR22534742	NODE_5222_length_1802_cov_17.221594	61.9	1802	353	0.974504	1.12e-148	acc|GENBANK|WGU26821.1|GENBANK|OQ503488|S-acyltransferase 11-like protein [Triticum monococcum]	Triticum monococcum	Blastx
SRR22534742	NODE_3704_length_1108_cov_3.146977	61.8	1108	359	0.947075	1.02e-147	acc|GENBANK|AGE50238.1|GENBANK|JX997158|GDP-L-fucose synthase 2 [Acanthocystis turfacea Chlorella virus Canal-1]	Acanthocystis turfacea Chlorella virus Canal-1	Blastx
SRR22534742	NODE_2507_length_692_cov_11253.993930	96.1	692	1960	0.117347	6.84e-147	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR22534742	NODE_5843_length_1309_cov_20.559561	69.1	1309	292	0.976027	2.12e-145	acc|GENBANK|QKE44490.1|GENBANK|MT364305|putative thymidylate synthase [Yalta virus]	Yalta virus	Blastx
SRR22534742	NODE_61_length_671_cov_23.106583	94.2	671	518	0.430502	3.86e-145	acc|GENBANK|ABY48142.1|GENBANK|EU306659|serine-hydroxymethyltransferase [Medicago truncatula]	Medicago truncatula	Blastx
