Sample	RefId	MappedReads	PercentGenomeCovered	MeanCoverage	PassFilter	ConsensusFile
SRR17635181	NC_000947.1	149258	54.15	1739.1483	True	/data/output/mapping/map2Ref/SRR17635181/NC_000947.1.consensus.fasta
SRR17635181	NC_001445.1	16604	2.05	59.2257	False	/data/output/mapping/map2Ref/SRR17635181/NC_001445.1.consensus.fasta
SRR17635181	NC_001616.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635181/NC_001616.1.consensus.fasta
SRR17635181	NC_001721.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635181/NC_001721.1.consensus.fasta
SRR17635181	NC_001777.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635181/NC_001777.1.consensus.fasta
SRR17635181	NC_001812.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635181/NC_001812.1.consensus.fasta
SRR17635181	NC_001841.1	13	1.43	0.1067	False	/data/output/mapping/map2Ref/SRR17635181/NC_001841.1.consensus.fasta
SRR17635181	NC_002509.2	4980	2.40	34.4461	False	/data/output/mapping/map2Ref/SRR17635181/NC_002509.2.consensus.fasta
SRR17635181	NC_003003.1	12466	25.46	134.1106	True	/data/output/mapping/map2Ref/SRR17635181/NC_003003.1.consensus.fasta
SRR17635181	NC_003004.1	58740	54.26	1515.1769	True	/data/output/mapping/map2Ref/SRR17635181/NC_003004.1.consensus.fasta
SRR17635181	NC_003492.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635181/NC_003492.1.consensus.fasta
SRR17635181	NC_004011.1	4	1.00	0.0282	False	/data/output/mapping/map2Ref/SRR17635181/NC_004011.1.consensus.fasta
SRR17635181	NC_004667.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635181/NC_004667.1.consensus.fasta
SRR17635181	NC_004706.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635181/NC_004706.1.consensus.fasta
SRR17635181	NC_004752.1	6940	0.50	25.4295	False	/data/output/mapping/map2Ref/SRR17635181/NC_004752.1.consensus.fasta
SRR17635181	NC_005289.1	11703	2.03	89.7980	False	/data/output/mapping/map2Ref/SRR17635181/NC_005289.1.consensus.fasta
SRR17635181	NC_005290.1	9837	1.45	129.1286	False	/data/output/mapping/map2Ref/SRR17635181/NC_005290.1.consensus.fasta
SRR17635181	NC_009010.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR17635181/NC_009010.1.consensus.fasta
