Sample	Contig	Percent_identity	Contig_length	Reference_length	RefCoverage	E-value	Reference_name	Species	blastType
SRR17635182	NODE_1796_length_5868_cov_2471.018471	92.3	5868	3118	0.617383	0.00e+00	acc|GENBANK|AJD23399.1|NEIGHBOR|KJ789140|polyprotein [Japanese yam mosaic virus]	Japanese yam mosaic virus	Blastx
SRR17635182	NODE_1785_length_3064_cov_12272.903385	99.2	3064	1870	0.545455	0.00e+00	acc|GENBANK|ANF06855.1|NEIGHBOR|KU641565|polyprotein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_1783_length_1725_cov_17230.198357	99.2	1725	1870	0.284492	0.00e+00	acc|GENBANK|ALP92126.1|NEIGHBOR|KT246495|precursor polyprotein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_164_length_3254_cov_6.115991	94.4	3254	1335	0.310112	1.81e-270	acc|GENBANK|AJD23371.1|GENBANK|KJ789131|putative RNA-dependent RNA polymerase [Yam virus X]	Yam virus X	Blastx
SRR17635182	NODE_1764_length_1203_cov_532.303723	97.1	1203	1960	0.192857	1.51e-251	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR17635182	NODE_1777_length_1100_cov_3621.475440	96.4	1100	3117	0.117421	3.13e-240	acc|GENBANK|AJD23395.1|NEIGHBOR|KJ789138|polyprotein [Japanese yam mosaic virus]	Japanese yam mosaic virus	Blastx
SRR17635182	NODE_1795_length_1084_cov_5084.428034	88.8	1084	647	0.539413	8.75e-230	acc|GENBANK|BAI60051.1|GENBANK|AB539021|polyprotein [Japanese yam mosaic virus]	Japanese yam mosaic virus	Blastx
SRR17635182	NODE_1774_length_1461_cov_1783.158333	98.0	1461	1960	0.154592	1.98e-197	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR17635182	NODE_1642_length_700_cov_7120.145803	90.1	700	324	0.716049	4.06e-148	acc|GENBANK|AWD38334.1|GENBANK|MF156604|polyprotein [Japanese yam mosaic virus]	Japanese yam mosaic virus	Blastx
SRR17635182	NODE_278_length_912_cov_2.621773	70.3	912	461	0.650759	2.12e-139	acc|GENBANK|AAL14456.1|GENBANK|AF397036|heat shock protein Hsc70t [Mus musculus]	Mus musculus	Blastx
SRR17635182	NODE_1857_length_615_cov_2.579125	83.8	615	1335	0.152809	1.73e-116	acc|GENBANK|AJD23371.1|GENBANK|KJ789131|putative RNA-dependent RNA polymerase [Yam virus X]	Yam virus X	Blastx
SRR17635182	NODE_77_length_803_cov_4.069054	78.4	803	224	0.888393	6.60e-114	acc|GENBANK|QDH89109.1|GENBANK|MN034603|hypothetical protein [Picornavirales sp.]	Picornavirales sp.	Blastx
SRR17635182	NODE_1809_length_544_cov_1525.730402	91.2	544	1960	0.092347	2.98e-105	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR17635182	NODE_1805_length_573_cov_8764.202899	96.3	573	1870	0.087701	1.12e-97	acc|GENBANK|ANF06855.1|NEIGHBOR|KU641565|polyprotein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_1771_length_475_cov_9201.700441	89.9	475	352	0.448864	8.05e-91	acc|GENBANK|QOH28252.1|GENBANK|MN184989|protease cofactor [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_167_length_945_cov_2.936147	48.5	945	800	0.381250	1.05e-89	acc|GENBANK|WZO89825.1|GENBANK|PP681899|ABC transporter [Chlorovirus sp.]	Chlorovirus sp.	Blastx
SRR17635182	NODE_267_length_1007_cov_2.134888	47.6	1007	919	0.344940	2.65e-86	acc|GENBANK|AYV75146.1|GENBANK|MK071979|plasma membrane ATPase [Terrestrivirus sp.]	Terrestrivirus sp.	Blastx
SRR17635182	NODE_510_length_486_cov_1.911828	76.1	486	224	0.709821	2.93e-85	acc|GENBANK|QDH89109.1|GENBANK|MN034603|hypothetical protein [Picornavirales sp.]	Picornavirales sp.	Blastx
SRR17635182	NODE_505_length_400_cov_2.654354	88.0	400	1335	0.099625	7.28e-77	acc|GENBANK|AJD23371.1|GENBANK|KJ789131|putative RNA-dependent RNA polymerase [Yam virus X]	Yam virus X	Blastx
SRR17635182	NODE_2009_length_409_cov_4.621134	91.2	409	1335	0.101873	1.71e-74	acc|GENBANK|AJD23416.1|GENBANK|KM009120|putative RNA-dependent RNA polymerase [Yam virus X]	Yam virus X	Blastx
SRR17635182	NODE_1436_length_815_cov_2.384131	50.4	815	341	0.680352	3.95e-74	acc|GENBANK|ARF11691.1|GENBANK|KY684109|glutamine synthetase [Klosneuvirus KNV1]	Klosneuvirus KNV1	Blastx
SRR17635182	NODE_183_length_610_cov_4.241087	64.0	610	630	0.322222	7.69e-74	acc|GENBANK|QOR60303.1|GENBANK|MK522035|hypothetical protein [Bathycoccus sp. RCC716 virus 1]	Bathycoccus sp. RCC716 virus 1	Blastx
SRR17635182	NODE_1640_length_350_cov_3569.814590	99.1	350	3118	0.037203	1.59e-69	acc|GENBANK|AJD23399.1|NEIGHBOR|KJ789140|polyprotein [Japanese yam mosaic virus]	Japanese yam mosaic virus	Blastx
SRR17635182	NODE_722_length_371_cov_1.242857	82.1	371	258	0.476744	9.51e-69	acc|GENBANK|WMV02893.1|GENBANK|OP630990|alpha-tubulin [Diderma spumarioides]	Diderma spumarioides	Blastx
SRR17635182	NODE_247_length_462_cov_3.074830	70.6	462	208	0.735577	3.88e-68	acc|GENBANK|AQN68324.1|GENBANK|KY110734|HSP70-like protein [Saudi moumouvirus]	Saudi moumouvirus	Blastx
SRR17635182	NODE_254_length_417_cov_1.752525	67.9	417	513	0.267057	5.77e-63	acc|GENBANK|QBK91708.1|GENBANK|MK500565|phosphoenolpyruvate carboxykinase [Pithovirus LCPAC304]	Pithovirus LCPAC304	Blastx
SRR17635182	NODE_3483_length_397_cov_1.029255	80.0	397	423	0.307329	5.96e-63	acc|GENBANK|CAA38181.1|GENBANK|X54284|phosphoglycerate kinase [Trichoderma viride]	Trichoderma viride	Blastx
SRR17635182	NODE_1514_length_338_cov_1313.167192	89.3	338	1960	0.057143	2.19e-61	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR17635182	NODE_1834_length_446_cov_2.051765	81.1	446	112	0.991071	2.61e-60	acc|GENBANK|QDH87640.1|GENBANK|MN033519|hypothetical protein [Mitovirus sp.]	Mitovirus sp.	Blastx
SRR17635182	NODE_2141_length_313_cov_4.746575	94.2	313	1335	0.077903	3.43e-60	acc|GENBANK|AJD23416.1|GENBANK|KM009120|putative RNA-dependent RNA polymerase [Yam virus X]	Yam virus X	Blastx
SRR17635182	NODE_412_length_514_cov_2.085193	58.1	514	933	0.178992	1.04e-57	acc|GENBANK|AAL68644.1|GENBANK|AF458768|polyprotein [Oryza sativa Japonica Group]	Oryza sativa Japonica Group	Blastx
SRR17635182	NODE_253_length_476_cov_2.635165	82.5	476	189	0.634921	1.51e-57	acc|REFSEQ|YP_009465730.1|REFSEQ|NC_037057|hypothetical protein [Dishui lake phycodnavirus 1]	Dishui lake phycodnavirus 1	Blastx
SRR17635182	NODE_1792_length_288_cov_46927.970037	96.8	288	193	0.492228	6.76e-57	acc|GENBANK|AXT18254.1|GENBANK|MG171198|movement protein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_903_length_742_cov_5.950069	40.6	742	477	0.578616	2.48e-55	acc|GENBANK|AYV78014.1|GENBANK|MK072068|elongation factor 1 alpha long form [Edafosvirus sp.]	Edafosvirus sp.	Blastx
SRR17635182	NODE_271_length_416_cov_2.235443	61.8	416	491	0.276986	3.40e-51	acc|GENBANK|QBK88163.1|GENBANK|MK500377|phosphoenolpyruvate carboxykinase [Marseillevirus LCMAC202]	Marseillevirus LCMAC202	Blastx
SRR17635182	NODE_239_length_368_cov_1.907781	66.4	368	205	0.595122	9.55e-50	acc|REFSEQ|YP_010781892.1|REFSEQ|NC_075039|putative heat shock 70 kDa protein [Tupanvirus soda lake]	Tupanvirus soda lake	Blastx
SRR17635182	NODE_690_length_275_cov_2.476378	80.2	275	214	0.425234	1.01e-49	acc|GENBANK|UZE89726.1|GENBANK|ON704650|hypothetical protein [Parapoynx stagnalis nucleopolyhedrovirus]	Parapoynx stagnalis nucleopolyhedrovirus	Blastx
SRR17635182	NODE_1772_length_265_cov_40009.241803	98.9	265	1064	0.081767	4.87e-49	acc|GENBANK|ANF06856.1|NEIGHBOR|KU309314|polyprotein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_2214_length_582_cov_3.554367	57.3	582	753	0.273572	1.73e-48	acc|GENBANK|QDY51907.1|GENBANK|MK250085|Hsp90 protein [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
SRR17635182	NODE_232_length_381_cov_2.333333	58.7	381	341	0.354839	2.44e-48	acc|GENBANK|ARF11691.1|GENBANK|KY684109|glutamine synthetase [Klosneuvirus KNV1]	Klosneuvirus KNV1	Blastx
SRR17635182	NODE_1504_length_278_cov_623.171206	90.2	278	1960	0.046939	2.82e-48	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR17635182	NODE_1062_length_278_cov_213.743191	90.2	278	1960	0.046939	3.84e-48	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR17635182	NODE_512_length_285_cov_1.935606	79.8	285	144	0.652778	1.54e-47	acc|GENBANK|AAH74588.1|GENBANK|BC074588|intracisternal A particle-promoted polypeptide [Xenopus tropicalis]	Xenopus tropicalis	Blastx
SRR17635182	NODE_252_length_654_cov_2.225908	45.5	654	479	0.394572	1.65e-47	acc|GENBANK|WZO86147.1|GENBANK|PP681891|ABC transporter [Chlorovirus sp.]	Chlorovirus sp.	Blastx
SRR17635182	NODE_1085_length_249_cov_1.043860	93.9	249	161	0.509317	2.62e-46	acc|GENBANK|AYV80106.1|GENBANK|MK072208|polyubiquitin [Gaeavirus sp.]	Gaeavirus sp.	Blastx
SRR17635182	NODE_1788_length_255_cov_29933.884615	96.4	255	1064	0.078947	1.02e-45	acc|GENBANK|ANF06856.1|NEIGHBOR|KU309314|polyprotein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_477_length_365_cov_4.500000	69.3	365	753	0.151394	6.13e-45	acc|GENBANK|QDY51907.1|GENBANK|MK250085|Hsp90 protein [Mimiviridae sp. ChoanoV1]	Mimiviridae sp. ChoanoV1	Blastx
SRR17635182	NODE_1779_length_238_cov_53455.055300	93.7	238	344	0.229651	1.62e-44	acc|GENBANK|UTO68735.1|GENBANK|ON638916|capsid protein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_2044_length_298_cov_1.440433	78.0	298	614	0.162866	2.97e-44	acc|GENBANK|BCT22767.1|GENBANK|LC613089|Hsp70 protein [Carp edema virus]	Carp edema virus	Blastx
SRR17635182	NODE_437_length_257_cov_2.144068	94.4	257	117	0.615385	5.74e-44	acc|GENBANK|QDH76138.1|GENBANK|MK948413|putative gag protein [Porcine endogenous retrovirus]	Porcine endogenous retrovirus	Blastx
SRR17635182	NODE_71_length_384_cov_3.212121	62.0	384	543	0.237569	1.52e-43	acc|GENBANK|QFG74725.1|GENBANK|MN448290|phosphoenolpyruvate carboxykinase [Megaviridae environmental sample]	Megaviridae environmental sample	Blastx
SRR17635182	NODE_148_length_421_cov_3.067500	56.2	421	477	0.306080	1.73e-43	acc|GENBANK|AYV78014.1|GENBANK|MK072068|elongation factor 1 alpha long form [Edafosvirus sp.]	Edafosvirus sp.	Blastx
SRR17635182	NODE_458_length_373_cov_1.846591	68.2	373	116	0.922414	2.66e-43	acc|GENBANK|QOI90342.1|GENBANK|MT663535|hypothetical protein [Pyramimonas orientalis virus]	Pyramimonas orientalis virus	Blastx
SRR17635182	NODE_1793_length_228_cov_52407.265700	98.7	228	402	0.186567	7.63e-43	acc|GENBANK|QOH28254.1|GENBANK|MN184991|large coat protein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_280_length_454_cov_5.810624	71.4	454	115	0.852174	1.02e-42	acc|GENBANK|AGM61328.1|GENBANK|KC170725|histone H4 like-protein [Cotesia sesamiae bracovirus]	Cotesia sesamiae bracovirus	Blastx
SRR17635182	NODE_2855_length_223_cov_1.277228	100	223	158	0.468354	1.72e-41	acc|GENBANK|QQG34631.1|GENBANK|MW328744|HP4 [Agrostis stolonifera deltaflexivirus 1]	Agrostis stolonifera deltaflexivirus 1	Blastx
SRR17635182	NODE_217_length_396_cov_1.170667	54.3	396	228	0.565789	2.89e-41	acc|GENBANK|ATZ80220.1|GENBANK|MF782455|cyclophilin ABH-like protein [Bodo saltans virus]	Bodo saltans virus	Blastx
SRR17635182	NODE_191_length_621_cov_2.095000	44.9	621	919	0.215452	1.80e-40	acc|GENBANK|AYV75146.1|GENBANK|MK071979|plasma membrane ATPase [Terrestrivirus sp.]	Terrestrivirus sp.	Blastx
SRR17635182	NODE_1402_length_436_cov_1.612048	52.4	436	815	0.177914	1.97e-40	acc|REFSEQ|YP_010782648.1|REFSEQ|NC_075039|elongation factor 2 [Tupanvirus soda lake]	Tupanvirus soda lake	Blastx
SRR17635182	NODE_1187_length_269_cov_1.068548	78.2	269	224	0.348214	1.23e-39	acc|GENBANK|QDH89109.1|GENBANK|MN034603|hypothetical protein [Picornavirales sp.]	Picornavirales sp.	Blastx
SRR17635182	NODE_3415_length_288_cov_1.449438	91.9	288	621	0.119163	5.01e-39	acc|GENBANK|XCA47333.1|GENBANK|PP911589|movement protein hsp70h [Micromonas commoda virus]	Micromonas commoda virus	Blastx
SRR17635182	NODE_2041_length_223_cov_2.554455	91.8	223	1335	0.054682	1.70e-38	acc|GENBANK|AJD23416.1|GENBANK|KM009120|putative RNA-dependent RNA polymerase [Yam virus X]	Yam virus X	Blastx
SRR17635182	NODE_63_length_407_cov_2.774611	54.9	407	170	0.717647	3.73e-38	acc|REFSEQ|YP_003358229.2|REFSEQ|NC_013668|nucleoside diphosphate kinase [Anguillid herpesvirus 1]	Anguillid herpesvirus 1	Blastx
SRR17635182	NODE_116_length_272_cov_3.693227	71.9	272	405	0.219753	1.07e-37	acc|GENBANK|WGU26824.1|GENBANK|OQ503488|eukaryotic initiation factor 4A-III B-like [Triticum monococcum]	Triticum monococcum	Blastx
SRR17635182	NODE_1071_length_347_cov_1.085890	61.7	347	518	0.222008	3.92e-37	acc|GENBANK|ABY48142.1|GENBANK|EU306659|serine-hydroxymethyltransferase [Medicago truncatula]	Medicago truncatula	Blastx
SRR17635182	NODE_1790_length_199_cov_53344.269663	100	199	148	0.439189	6.69e-37	acc|GENBANK|AEL33500.1|GENBANK|HQ602944|movement protein [Broad bean wilt virus 2]	Broad bean wilt virus 2	Blastx
SRR17635182	NODE_298_length_272_cov_1.525896	69.7	272	289	0.307958	4.76e-36	acc|GENBANK|QKF93545.1|GENBANK|MT418680|rhamnose synthesis protein [Fadolivirus FV1/VV64]	Fadolivirus FV1/VV64	Blastx
SRR17635182	NODE_1797_length_206_cov_1239.308108	94.1	206	1960	0.034694	1.23e-35	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR17635182	NODE_156_length_250_cov_260.235808	74.7	250	1960	0.042347	1.10e-34	acc|REFSEQ|YP_009134730.1|REFSEQ|NC_026248|replicase polyprotein [Yam latent virus]	Yam latent virus	Blastx
SRR17635182	NODE_1457_length_220_cov_1.316583	96.8	220	88	0.704545	1.19e-34	acc|GENBANK|XAO13519.1|GENBANK|PP130629|hypothetical protein [Mantoniella tinhauana virus 1]	Mantoniella tinhauana virus 1	Blastx
