Sample	RefId	MappedReads	PercentGenomeCovered	MeanCoverage	PassFilter	ConsensusFile
SRR3938623	NC_000947.1	1	0.89	0.0089	False	/data/output/mapping/map2Ref/SRR3938623/NC_000947.1.consensus.fasta
SRR3938623	NC_001445.1	2	0.73	0.0144	False	/data/output/mapping/map2Ref/SRR3938623/NC_001445.1.consensus.fasta
SRR3938623	NC_001616.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_001616.1.consensus.fasta
SRR3938623	NC_001721.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_001721.1.consensus.fasta
SRR3938623	NC_001777.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_001777.1.consensus.fasta
SRR3938623	NC_001812.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_001812.1.consensus.fasta
SRR3938623	NC_001841.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_001841.1.consensus.fasta
SRR3938623	NC_002509.2	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_002509.2.consensus.fasta
SRR3938623	NC_003003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_003003.1.consensus.fasta
SRR3938623	NC_003004.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_003004.1.consensus.fasta
SRR3938623	NC_003492.1	5	0.49	0.0247	False	/data/output/mapping/map2Ref/SRR3938623/NC_003492.1.consensus.fasta
SRR3938623	NC_004011.1	1	0.40	0.0040	False	/data/output/mapping/map2Ref/SRR3938623/NC_004011.1.consensus.fasta
SRR3938623	NC_004667.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_004667.1.consensus.fasta
SRR3938623	NC_004706.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_004706.1.consensus.fasta
SRR3938623	NC_004752.1	85	34.60	0.7568	False	/data/output/mapping/map2Ref/SRR3938623/NC_004752.1.consensus.fasta
SRR3938623	NC_005289.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_005289.1.consensus.fasta
SRR3938623	NC_005290.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_005290.1.consensus.fasta
SRR3938623	NC_009010.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_009010.1.consensus.fasta
SRR3938623	NC_010538.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_010538.1.consensus.fasta
SRR3938623	NC_011541.1	2	0.88	0.0088	False	/data/output/mapping/map2Ref/SRR3938623/NC_011541.1.consensus.fasta
SRR3938623	NC_014742.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_014742.1.consensus.fasta
SRR3938623	NC_016003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_016003.1.consensus.fasta
SRR3938623	NC_018093.1	2	0.69	0.0135	False	/data/output/mapping/map2Ref/SRR3938623/NC_018093.1.consensus.fasta
SRR3938623	NC_018175.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_018175.1.consensus.fasta
SRR3938623	NC_018455.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_018455.1.consensus.fasta
SRR3938623	NC_019412.1	352	76.45	3.3068	True	/data/output/mapping/map2Ref/SRR3938623/NC_019412.1.consensus.fasta
SRR3938623	NC_022895.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_022895.1.consensus.fasta
SRR3938623	NC_025252.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_025252.1.consensus.fasta
SRR3938623	NC_026248.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_026248.1.consensus.fasta
SRR3938623	NC_027212.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_027212.1.consensus.fasta
SRR3938623	NC_028111.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_028111.1.consensus.fasta
SRR3938623	NC_031763.1	10	9.16	0.2262	False	/data/output/mapping/map2Ref/SRR3938623/NC_031763.1.consensus.fasta
SRR3938623	NC_031766.1	1	0.92	0.0092	False	/data/output/mapping/map2Ref/SRR3938623/NC_031766.1.consensus.fasta
SRR3938623	NC_034250.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_034250.1.consensus.fasta
SRR3938623	NC_038381.1	7	5.05	0.0668	False	/data/output/mapping/map2Ref/SRR3938623/NC_038381.1.consensus.fasta
SRR3938623	NC_038561.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_038561.1.consensus.fasta
SRR3938623	NC_038986.1	21	1.35	0.1619	False	/data/output/mapping/map2Ref/SRR3938623/NC_038986.1.consensus.fasta
SRR3938623	NC_038987.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_038987.1.consensus.fasta
SRR3938623	NC_038995.1	14	9.55	0.1642	False	/data/output/mapping/map2Ref/SRR3938623/NC_038995.1.consensus.fasta
SRR3938623	NC_040712.1	7	4.64	0.0609	False	/data/output/mapping/map2Ref/SRR3938623/NC_040712.1.consensus.fasta
SRR3938623	NC_040825.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_040825.1.consensus.fasta
SRR3938623	NC_043084.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_043084.1.consensus.fasta
SRR3938623	NC_043141.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_043141.1.consensus.fasta
SRR3938623	NC_043146.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_043146.1.consensus.fasta
SRR3938623	NC_043150.1	9	4.65	0.3149	False	/data/output/mapping/map2Ref/SRR3938623/NC_043150.1.consensus.fasta
SRR3938623	NC_043159.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_043159.1.consensus.fasta
SRR3938623	NC_043160.1	1	1.94	0.0194	False	/data/output/mapping/map2Ref/SRR3938623/NC_043160.1.consensus.fasta
SRR3938623	NC_043161.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/SRR3938623/NC_043161.1.consensus.fasta
