Sample	RefId	MappedReads	PercentGenomeCovered	MeanCoverage	PassFilter	ConsensusFile
DRR208400	NC_000947.1	6297	1.51	49.0037	False	/data/output/mapping/map2Ref/DRR208400/NC_000947.1.consensus.fasta
DRR208400	NC_001445.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_001445.1.consensus.fasta
DRR208400	NC_001616.1	7	0.55	0.0376	False	/data/output/mapping/map2Ref/DRR208400/NC_001616.1.consensus.fasta
DRR208400	NC_001721.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_001721.1.consensus.fasta
DRR208400	NC_001777.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_001777.1.consensus.fasta
DRR208400	NC_001812.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_001812.1.consensus.fasta
DRR208400	NC_001841.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_001841.1.consensus.fasta
DRR208400	NC_002509.2	7715	0.71	49.2885	False	/data/output/mapping/map2Ref/DRR208400/NC_002509.2.consensus.fasta
DRR208400	NC_003003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_003003.1.consensus.fasta
DRR208400	NC_003004.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_003004.1.consensus.fasta
DRR208400	NC_003492.1	4529	2.41	22.6126	False	/data/output/mapping/map2Ref/DRR208400/NC_003492.1.consensus.fasta
DRR208400	NC_004011.1	5437	2.62	20.9296	False	/data/output/mapping/map2Ref/DRR208400/NC_004011.1.consensus.fasta
DRR208400	NC_004667.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_004667.1.consensus.fasta
DRR208400	NC_004706.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_004706.1.consensus.fasta
DRR208400	NC_004752.1	382403	96.20	5058.4277	True	/data/output/mapping/map2Ref/DRR208400/NC_004752.1.consensus.fasta
DRR208400	NC_005289.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_005289.1.consensus.fasta
DRR208400	NC_005290.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_005290.1.consensus.fasta
DRR208400	NC_009010.1	3	3.24	0.0423	False	/data/output/mapping/map2Ref/DRR208400/NC_009010.1.consensus.fasta
DRR208400	NC_010538.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_010538.1.consensus.fasta
DRR208400	NC_011541.1	8812	1.79	49.7999	False	/data/output/mapping/map2Ref/DRR208400/NC_011541.1.consensus.fasta
DRR208400	NC_014742.1	4736	1.52	26.5491	False	/data/output/mapping/map2Ref/DRR208400/NC_014742.1.consensus.fasta
DRR208400	NC_016003.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_016003.1.consensus.fasta
DRR208400	NC_018093.1	3798	1.48	25.8349	False	/data/output/mapping/map2Ref/DRR208400/NC_018093.1.consensus.fasta
DRR208400	NC_018175.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_018175.1.consensus.fasta
DRR208400	NC_018455.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_018455.1.consensus.fasta
DRR208400	NC_019412.1	0	0.00	0.0000	False	/data/output/mapping/map2Ref/DRR208400/NC_019412.1.consensus.fasta
